"BIRTH_DATE","CowId","herd","ENTER_HERD_DATE","LEFT_HERD_DATE","LEFT_HERD_CODE"
03DEC2011,163,3,03DEC2011,,.
08DEC2011,164,3,08DEC2011,11NOV2014,24
20NOV2011,165,2,20NOV2011,14OCT2012,21
02DEC2011,166,2,02DEC2011,30AUG2014,14
05DEC2011,167,2,05DEC2011,14SEP2015,14
12DEC2011,168,2,12DEC2011,16MAR2015,14
15DEC2011,169,2,15DEC2011,,.
19DEC2011,170,2,19DEC2011,,.
25DEC2011,171,3,25DEC2011,,.
11DEC2011,172,3,11DEC2011,08APR2013,14
12DEC2011,173,3,12DEC2011,08APR2013,14
19DEC2011,174,3,19DEC2011,14DEC2016,24
22DEC2011,175,3,22DEC2011,08APR2013,14
24DEC2011,176,2,24DEC2011,16MAR2015,12
30DEC2011,177,2,30DEC2011,11NOV2016,14
31DEC2011,178,2,31DEC2011,,.
08JAN2012,179,2,08JAN2012,,.
16JAN2012,180,2,16JAN2012,,.
18JAN2012,181,2,18JAN2012,,.
26JAN2012,182,3,26JAN2012,13JUL2015,21
28JAN2012,183,3,28JAN2012,08APR2013,14
19JAN2012,184,3,19JAN2012,,.
21FEB2012,185,3,21JAN2012,10AUG2017,08
25JAN2012,186,3,25JAN2012,,.
02FEB2012,187,3,14OCT2016,,.
24JAN2012,188,2,24JAN2012,,.
09FEB2012,189,2,09FEB2012,01JUL2013,12
10FEB2012,190,2,10FEB2012,10JUN2012,12
13FEB2012,191,2,13FEB2012,19SEP2017,14
17FEB2012,192,1,11FEB2014,07SEP2016,24
27FEB2012,193,3,27FEB2012,05MAY2015,14
10MAR2012,194,3,10MAR2012,,.
21MAR2012,195,2,21MAR2012,,.
24FEB2012,196,2,24FEB2012,,.
08MAR2012,197,2,08MAR2012,19JAN2018,12
19MAR2012,198,2,19MAR2012,30AUG2014,30
18MAR2012,199,2,18MAR2012,,.
21MAR2012,200,2,21MAR2012,,.
18MAR2012,201,3,18MAR2012,05MAY2015,14
23MAR2012,202,3,27MAR2012,,.
27MAR2012,203,3,27MAR2012,,.
31MAR2012,204,3,31MAR2012,03JAN2016,14
31MAR2012,205,3,31MAR2012,,.
04APR2012,206,3,04APR2012,04AUG2014,26
06APR2012,207,3,06APR2012,,.
28MAR2012,208,2,28MAR2012,,.
01APR2012,209,2,01APR2012,,.
12APR2012,210,2,12APR2012,25NOV2015,11
11APR2012,211,3,11APR2012,21JUN2017,24
07MAY2012,212,3,11JAN2017,,.
01MAY2012,213,2,01MAY2012,,.
02MAY2012,214,2,02MAY2012,11NOV2016,14
19MAY2012,215,2,19MAY2012,,.
20MAY2012,216,2,20MAY2012,07DEC2014,26
21MAY2012,217,2,21MAY2012,,.
18MAY2012,218,3,14OCT2016,,.
27MAY2012,219,3,27MAY2012,03MAY2017,08
08MAY2012,220,3,08MAY2012,,.
12JUN2012,221,3,12JUN2012,,.
10MAY2012,222,3,10MAY2012,05MAY2015,14
06JUN2012,223,2,06JUN2012,,.
19JUN2012,224,2,19JUN2012,,.
04JUL2012,225,3,04JUL2012,22NOV2017,12
07JUL2012,226,3,07JUL2012,05DEC2015,10
08JUL2012,227,3,08JUL2012,11MAY2016,30
09JUL2012,228,3,09JUL2012,08APR2013,14
10JUL2012,229,2,10JUL2012,22FEB2017,24
12JUL2012,230,2,15JUL2012,,.
19JUL2012,231,2,19JUL2012,,.
21JUL2012,232,2,21JUL2012,,.
22JUL2012,233,2,22JUL2012,27JUL2015,10
18JUL2012,234,3,18JUL2012,05OCT2015,14
20JUL2012,235,3,20JUL2012,12NOV2016,10
10JUL2012,236,3,10JUL2012,22NOV2017,14
17JUL2012,237,3,17JUL2012,04FEB2014,10
19JUL2012,238,3,16FEB2017,31DEC2017,12
14AUG2012,239,2,14AUG2012,,.
10AUG2012,240,2,10AUG2012,,.
26AUG2012,241,2,26AUG2012,,.
04SEP2012,242,3,04SEP2012,,.
05SEP2012,243,3,05SEP2012,18AUG2015,31
09SEP2012,244,3,09SEP2012,10MAY2015,08
02SEP2012,245,3,02SEP2012,07APR2015,12
03SEP2012,246,3,03SEP2012,08JAN2016,16
03SEP2012,247,3,03SEP2012,,.
12AUG2012,248,3,12AUG2012,10OCT2016,24
26AUG2012,249,3,26AUG2012,08APR2013,14
29AUG2012,250,3,29AUG2012,,.
01SEP2012,251,3,01SEP2012,14AUG2017,24
01SEP2012,252,3,01SEP2012,09NOV2015,30
25SEP2012,253,2,25SEP2012,,.
09SEP2012,254,2,09SEP2012,07MAY2017,24
16SEP2012,255,2,16SEP2012,10AUG2015,21
20SEP2012,256,2,20SEP2012,,.
23SEP2012,257,2,23SEP2012,22JAN2018,24
27SEP2012,258,2,27SEP2012,,.
07OCT2012,259,2,07OCT2012,11NOV2016,14
23OCT2012,260,3,16FEB2017,,.
22OCT2012,261,3,22OCT2012,05MAY2015,14
02NOV2012,262,3,02NOV2012,20MAY2015,04
06NOV2012,263,3,06NOV2012,,.
12NOV2012,264,3,12NOV2012,06JUN2017,08
30OCT2012,265,2,30OCT2012,11NOV2016,14
05NOV2012,266,2,05NOV2012,01MAR2016,10
06NOV2012,267,2,06NOV2012,10DEC2012,12
20NOV2012,268,2,20NOV2012,14FEB2018,24
21NOV2012,269,2,21NOV2012,,.
21NOV2012,270,2,21NOV2012,,.
16NOV2012,271,3,16NOV2012,30AUG2016,10
20NOV2012,272,3,20NOV2012,08APR2013,14
03DEC2012,273,3,03DEC2012,,.
04DEC2012,274,3,04DEC2012,05MAY2015,14
06DEC2012,275,3,06DEC2012,10JUL2017,10
07DEC2012,276,3,07DEC2012,08MAR2017,21
30NOV2012,277,2,30NOV2012,,.
01DEC2012,278,2,01DEC2012,10APR2017,12
12DEC2012,279,3,26DEC2012,22OCT2017,11
27DEC2012,280,3,27DEC2012,,.
27DEC2012,281,3,27DEC2012,10NOV2015,30
30DEC2012,282,3,30DEC2012,05OCT2016,12
30DEC2012,283,3,30DEC2012,19OCT2014,21
18DEC2012,284,3,18DEC2012,29JUL2015,25
08JAN2013,285,3,08JAN2013,14AUG2016,24
12JAN2013,286,2,12JAN2013,,.
23DEC2012,287,2,23DEC2012,11NOV2016,14
22JAN2013,288,2,22JAN2013,,.
23JAN2013,289,2,23JAN2013,20FEB2013,11
28JAN2013,290,2,28JAN2013,01JUL2014,21
18JAN2013,291,3,18JAN2013,13MAR2013,21
25JAN2013,292,3,25JAN2013,02MAY2015,26
06FEB2013,293,3,06FEB2013,06JUN2017,08
14FEB2013,294,2,14FEB2013,11NOV2016,14
24FEB2013,295,2,24FEB2013,11NOV2016,14
22FEB2013,296,3,22FEB2013,,.
01MAR2013,297,3,01MAR2013,19APR2017,24
01MAR2013,298,3,01MAR2013,,.
03MAR2013,299,3,03MAR2013,,.
06MAR2013,300,3,06MAR2013,,.
07MAR2013,301,3,07MAR2013,,.
10MAR2013,302,3,10MAR2013,,.
10MAR2013,303,2,10MAR2013,03SEP2016,08
05APR2013,304,3,05APR2013,12JUL2013,12
08APR2013,305,3,08APR2013,,.
18JUL2011,306,3,18JUL2011,,.
20APR2013,307,3,20APR2013,,.
21APR2013,308,3,21APR2013,28SEP2015,10
10APR2013,309,2,10APR2013,11NOV2016,14
01MAY2013,310,2,01MAY2013,01APR2016,14
05MAY2013,311,2,05MAY2013,,.
25APR2013,312,2,25APR2013,23JUL2017,08
26APR2013,313,2,26APR2013,11NOV2016,14
29APR2013,314,2,29APR2013,,.
08MAY2013,315,2,08MAY2013,,.
10MAY2013,316,3,10MAY2013,01SEP2017,21
14MAY2013,317,3,14MAY2013,10JAN2018,21
17MAY2013,318,3,17MAY2013,,.
21MAY2013,319,3,21MAY2013,15MAY2016,10
27JUN2013,320,3,27JUN2013,,.
02JUL2013,321,3,02JUL2013,,.
19JUL2013,322,3,19JUL2013,,.
05JUL2013,323,2,10JUL2013,,.
18JUL2013,324,2,18JUL2013,27FEB2017,24
23JUL2013,325,2,23JUL2013,01MAY2017,14
13JUL2013,326,2,30JUL2013,,.
06AUG2013,327,2,06AUG2013,,.
07AUG2013,328,3,07AUG2013,,.
05AUG2013,329,3,05AUG2013,,.
06AUG2013,330,3,06AUG2013,,.
08AUG2013,331,3,08AUG2013,,.
22AUG2013,332,2,22AUG2013,21APR2017,16
27AUG2013,333,2,27AUG2013,22FEB2017,24
31AUG2013,334,2,31AUG2013,,.
05SEP2013,335,2,05SEP2013,,.
28AUG2013,336,1,28AUG2013,,.
30SEP2013,337,3,14OCT2016,,.
17AUG2013,338,3,17AUG2013,16OCT2017,10
20AUG2013,339,3,20AUG2013,04APR2016,10
24AUG2013,340,3,24AUG2013,23NOV2016,30
26AUG2013,341,3,26AUG2013,15FEB2017,32
05SEP2013,342,3,05SEP2013,,.
15SEP2013,343,3,15SEP2013,05AUG2016,11
18SEP2013,344,3,18SEP2013,31MAY2016,16
18SEP2013,345,3,18SEP2013,,.
20SEP2013,346,3,20SEP2013,11MAY2016,24
