"CowId","herd","LACT_NO","END_DATE","START_DATE","DAY_305_MILK","LACT_DATE_YLD_MILK","DAY_305_FAT","LACT_DATE_YLD_FAT","DAY_305_PROT","LACT_DATE_YLD_PROT","CUMUL_MILK_VALUE","CUMUL_FEED_COST"
81,2,1,24DEC2014,24JAN2014,8265,8905.78,375,409.75,294,320.18,7731,
81,2,2,10JAN2016,03MAR2015,8560,8683.02,361,368.41,300,306.12,6682,2018
82,2,1,15OCT2014,22OCT2013,8615,9808.63,262,303.35,241,281.21,6414,2383
82,2,2,28OCT2015,20NOV2014,8863,9398.78,283,302.12,263,283.72,5912,
82,2,3,16OCT2016,15FEB2016,6854,6854.43,199,198.51,197,197.38,3493,
85,3,1,09SEP2014,28DEC2013,5785,5785.31,277,276.90,200,199.88,5006,1614
86,3,1,06AUG2014,07AUG2013,5447,6238.50,217,247.52,175,201.23,4774,2313
86,3,2,05OCT2015,10NOV2014,9575,10015.50,310,328.74,298,312.67,6502,2146
86,3,3,09SEP2016,11NOV2015,8708,8708.20,338,338.21,277,277.46,6055,2112
86,3,4,12AUG2017,23OCT2016,8330,8330.16,323,322.52,267,267.00,5751,2348
86,3,5,27OCT2017,10OCT2017,,,,,,,0,135
87,3,1,26NOV2014,03NOV2013,10015,12271.27,371,459.55,314,389.19,8913,2825
87,3,2,28JAN2015,13JAN2015,,,,,,,0,126
88,3,1,12JAN2015,01JAN2014,7009,8286.48,332,401.47,239,287.07,7156,2573
88,3,2,28SEP2015,29APR2015,,4494.41,,203.94,,135.65,3428,1080
89,3,1,07JUL2014,15SEP2013,6401,6400.61,289,288.61,222,221.59,5314,2106
89,3,2,29DEC2014,12SEP2014,,3399.24,,156.71,,99.63,2630,781
90,3,1,09MAR2015,18FEB2014,9737,11587.30,374,460.61,288,356.65,8641,2585
91,3,1,06APR2015,04JAN2014,8905,12419.71,370,528.24,284,409.61,9697,2823
92,3,1,24FEB2014,08FEB2014,,,,,,,0,141
93,3,1,23JUN2015,20MAR2014,9512,13232.87,339,480.37,294,417.73,9421,2979
93,3,2,23MAY2016,29JUL2015,9789,9789.20,374,373.75,306,305.61,6628,2128
93,3,3,20FEB2017,29JUN2016,,9045.61,,352.72,,284.68,6326,2062
94,2,1,14JAN2015,12NOV2013,7154,9550.22,296,401.54,224,313.41,7504,2802
94,2,3,09MAR2017,21APR2016,9230,9491.62,367,379.48,289,299.41,6534,
94,2,4,29MAY2017,17APR2017,,585.28,,28.82,,19.80,460,
95,2,1,07JUL2014,02AUG2013,7239,8036.64,288,325.49,241,270.89,6215,2423
95,2,2,25APR2016,25OCT2014,10082,15117.12,385,632.41,328,529.06,11500,3830
95,2,3,19NOV2017,11SEP2016,10393,13379.71,425,560.24,335,444.51,9754,
96,2,1,09AUG2015,22JAN2014,7086,11676.99,317,525.65,245,439.49,9998,3855
96,2,2,20FEB2017,20NOV2015,9788,13109.09,384,542.18,307,450.49,9730,
97,2,1,21APR2014,03OCT2013,,4773.45,,183.20,,149.09,3434,1292
98,2,1,01AUG2014,29SEP2013,7541,7563.89,276,277.36,238,239.26,5468,2161
98,2,2,18SEP2015,27OCT2014,8535,8985.71,326,343.68,274,291.29,6316,2237
98,2,3,04APR2017,21NOV2015,9344,13092.70,326,507.96,283,446.33,8924,
99,3,1,22OCT2014,28DEC2013,8157,8156.67,343,343.14,265,265.43,6465,2161
99,3,2,08OCT2015,09DEC2014,10526,10525.63,416,415.95,323,322.88,7411,2240
99,3,3,09DEC2016,15NOV2015,9358,11393.13,381,489.96,307,390.04,8651,
100,3,1,11AUG2014,28JUL2014,,,,,,,,120
101,3,1,17JUL2015,30OCT2013,7284,14015.67,250,507.32,229,458.02,10030,3113
101,3,2,09MAR2016,18JUL2015,4234,4233.72,168,168.40,150,149.95,3035,1316
101,3,3,24MAY2016,10MAR2016,,1148.61,,46.80,,41.05,828,516
102,3,1,01SEP2014,09NOV2013,7490,7490.37,289,288.67,227,227.24,5505,1844
103,3,1,05JAN2015,06OCT2014,,3112.23,,126.28,,87.17,2225,665
104,3,1,09JUL2015,15JUL2014,7460,8431.96,338,387.69,265,304.59,6973,2146
106,2,2,04JUN2017,06MAR2016,8320,11390.93,286,398.10,269,378.82,7462,
107,3,1,16MAY2014,08MAY2014,,,,,,,,
108,3,1,27JAN2015,12MAR2014,8133,8400.07,320,332.45,275,285.34,6495,2306
108,3,2,23FEB2016,28APR2015,6872,6871.57,269,269.15,242,241.77,4856,1919
109,3,1,07OCT2015,03NOV2013,7400,17386.14,326,782.86,248,604.21,14209,4412
109,3,2,18NOV2016,09NOV2015,9890,11223.46,442,509.08,322,372.86,8277,
110,2,1,19NOV2014,03DEC2013,7184,7969.15,259,290.29,224,252.02,5762,
110,2,2,10JAN2016,12FEB2015,9832,10356.80,326,344.64,304,322.08,6507,2141
111,2,1,15AUG2014,05OCT2013,7464,7605.41,277,282.73,231,235.46,5606,
111,2,2,14JAN2016,20JAN2015,10900,12280.28,364,419.70,346,393.25,7913,2681
111,2,3,22AUG2016,29JUN2016,,,,,,,871,
112,2,1,28NOV2014,04NOV2013,9231,11361.42,324,408.33,280,359.03,8193,2593
112,2,2,14JAN2016,08JAN2015,9305,10879.07,352,417.42,294,349.18,7208,2734
112,2,3,09MAY2017,18JUN2016,11092,11631.09,401,425.06,336,355.91,7646,
113,2,1,15AUG2014,27AUG2013,6857,8057.12,237,277.99,206,243.78,5557,2546
113,2,2,10JAN2016,18DEC2014,9276,10859.44,298,363.46,277,329.92,6899,2501
114,2,1,15AUG2014,19OCT2013,6169,6168.58,237,236.80,192,192.15,4557,2161
114,2,2,22DEC2014,28NOV2014,,,,,,,0,161
115,1,1,03JUL2014,28AUG2013,6394,6453.77,276,278.92,202,204.38,4988,1919
115,1,2,18JUN2015,18AUG2014,7604,7604.09,315,314.51,237,236.74,5666,1899
115,1,3,18SEP2016,16AUG2015,8312,10177.35,337,430.55,243,313.78,7283,
115,1,4,19APR2017,16DEC2016,,3639.95,,137.13,,93.79,2732,946
116,3,1,31DEC2014,22FEB2014,7800,7964.26,301,307.56,245,250.34,5830,
117,3,1,07MAY2015,11AUG2014,7484,7484.00,306,306.49,243,243.14,5597,
118,3,1,30APR2014,07FEB2014,,2184.17,,93.82,,65.75,1724,692
119,3,1,28MAY2014,11JAN2014,,4119.70,,160.90,,128.98,2727,1039
120,3,1,16JUL2015,24MAR2014,12055,17134.14,398,605.23,365,533.10,11930,3666
120,3,2,23SEP2016,31OCT2015,9758,10174.64,412,430.15,318,332.85,7445,2456
120,3,3,28OCT2017,20NOV2016,10424,10889.34,393,412.47,336,354.01,8058,3168
121,3,1,06JAN2014,11NOV2013,,1637.34,,70.27,,43.06,1234,448
122,3,1,07OCT2015,10FEB2014,7925,15087.98,295,570.75,237,467.89,10695,
122,3,2,18OCT2017,14DEC2015,9827,20091.09,375,785.15,294,636.74,13945,4509
123,2,1,16APR2015,22SEP2013,7909,13773.92,271,478.89,239,432.68,9599,4047
123,2,2,12AUG2016,02OCT2015,9156,9322.12,296,302.58,268,273.21,5060,
123,2,3,25AUG2017,04OCT2016,7999,8281.94,267,277.59,243,253.31,4647,
124,2,1,06FEB2014,06JAN2014,,774.42,,36.88,,22.22,607,205
125,2,1,01AUG2014,20SEP2013,7405,7592.68,271,277.99,220,225.79,5378,2239
125,2,2,03DEC2015,05NOV2014,8403,10150.95,302,376.30,274,340.08,7128,
125,2,3,13MAR2017,20FEB2016,8345,9855.24,338,404.68,258,313.48,6790,
126,2,1,14MAR2015,01APR2014,6426,7003.65,268,296.64,198,219.33,5583,2431
126,2,2,25JUL2016,13JUN2015,7843,9450.86,299,370.56,238,292.56,6467,
126,2,3,06NOV2017,19NOV2016,7297,8209.33,277,319.56,243,276.85,5727,
127,2,1,04JAN2015,10FEB2014,9013,9665.35,314,339.99,287,309.02,6894,2192
127,2,2,01JUL2015,10FEB2015,,2558.06,,95.45,,103.48,1958,913
129,2,1,26OCT2015,20JAN2014,8492,16165.74,347,701.40,263,559.70,12732,4148
130,2,1,06JAN2015,13NOV2013,7949,10143.22,294,408.27,260,356.42,8082,2922
130,2,2,20JUN2016,19APR2015,8408,10493.93,313,427.56,291,376.67,7778,
131,2,1,10APR2015,26FEB2014,7439,9375.91,301,392.82,246,319.36,7445,2920
131,2,2,12AUG2016,22AUG2015,8635,9431.34,340,380.28,272,299.84,6476,2295
132,2,1,04JAN2015,09NOV2013,9152,11694.53,340,456.39,295,402.21,9089,2846
132,2,2,01JUN2016,07MAR2015,10714,13080.57,378,478.43,375,476.82,9178,3153
132,2,3,06NOV2017,21SEP2016,11118,13555.90,412,508.26,375,476.40,9519,
133,2,1,27FEB2015,18JAN2014,8250,10289.42,340,432.94,264,340.10,8094,2940
133,2,2,18SEP2016,29JUL2015,11085,13815.10,403,521.23,339,442.70,9195,
134,3,1,06SEP2014,27JUN2013,8833,11665.58,327,455.10,292,397.88,8968,2930
134,3,2,12APR2016,24OCT2014,9894,14660.34,335,560.51,317,509.85,10566,3278
134,3,3,04JUL2016,04JUN2016,,,,,,,0,247
136,2,1,03AUG2015,03SEP2014,7558,8165.00,319,351.26,236,258.77,6106,
136,2,2,06MAR2016,30DEC2015,,1644.77,,75.80,,45.10,1189,437
137,2,1,15OCT2014,21OCT2013,6779,8166.03,286,351.54,226,283.06,6739,2482
137,2,2,01DEC2015,01JAN2015,10098,10738.87,435,471.98,341,368.94,8229,
137,2,3,23FEB2017,23JAN2016,11487,13605.32,472,588.03,371,465.29,10239,
139,2,1,30AUG2014,27JAN2014,,5832.13,,214.66,,181.34,3915,1390
140,2,1,01DEC2014,15AUG2014,,3724.38,,148.26,,112.06,2749,701
141,3,1,09MAR2015,23OCT2014,,3149.08,,133.50,,98.88,2429,930
142,3,1,29JUL2015,04JUN2014,8541,10701.24,347,439.95,279,354.10,8150,2470
143,2,1,27DEC2014,24JAN2014,7911,8568.10,266,291.51,241,264.59,5968,2209
143,2,2,18SEP2015,14JAN2015,5809,5809.00,202,201.78,192,192.36,3616,
144,2,1,06APR2015,13MAY2014,6976,7300.03,297,312.81,234,247.28,5749,2631
144,2,2,10JAN2016,28NOV2015,,,,,,,555,283
146,3,1,31JAN2015,11MAR2014,8248,8745.13,309,329.37,246,264.35,6239,2184
146,3,2,30JUL2016,22MAR2015,10278,13420.11,387,517.92,314,425.46,9293,3158
146,3,3,13NOV2017,20SEP2016,9281,11358.34,347,436.92,284,363.89,7666,3234
147,3,1,07MAR2015,22FEB2014,8010,9524.10,271,324.58,264,318.70,6749,2465
147,3,2,14OCT2015,15MAY2015,5987,5986.65,158,158.16,185,184.72,3226,
147,3,3,08MAR2017,14MAY2016,9693,9692.87,328,328.47,328,327.75,6475,2374
147,3,4,07AUG2017,16APR2017,,3314.31,,106.69,,104.07,1704,888
148,3,1,10JAN2015,04MAY2014,6335,6334.52,204,203.85,193,193.33,4118,1550
150,2,1,18MAY2015,11JUL2014,8174,8300.44,319,325.25,289,294.08,6504,2135
150,2,2,24JUN2016,18JUL2015,8464,9140.61,344,376.16,293,319.23,6712,2307
150,2,3,28JUL2017,12AUG2016,9811,10783.94,419,470.12,355,394.63,8344,
152,3,1,28MAR2015,08JUN2014,5947,5947.22,247,246.82,208,208.14,4799,1807
152,3,2,09AUG2016,25MAY2015,8406,10609.12,348,453.19,278,360.76,7857,2687
152,3,3,27SEP2017,25SEP2016,8965,9815.59,378,419.68,303,336.62,7076,2838
153,3,1,28DEC2014,29JAN2014,6939,7466.70,336,368.37,228,247.66,6424,
153,3,2,04MAY2016,09FEB2015,8488,10946.23,423,562.17,284,384.32,9210,2708
154,3,1,27JUN2015,03FEB2014,7938,11876.01,342,530.49,271,417.10,9738,3373
154,3,2,14DEC2016,04NOV2015,6006,7456.65,280,354.99,196,256.77,5836,2336
155,3,1,25MAR2015,11JUN2014,7175,7174.74,304,304.21,239,238.78,5480,2062
155,3,2,17SEP2016,06JUL2015,9571,12250.10,394,536.75,307,409.03,9223,2960
155,3,3,15FEB2017,22NOV2016,,3005.31,,147.86,,85.03,2424,761
156,3,1,26AUG2015,03MAR2015,,3358.24,,127.48,,111.65,2308,1076
157,2,1,03APR2015,24APR2014,7776,8635.78,229,260.31,235,263.88,5405,2393
157,2,2,31MAR2016,24JUN2015,8857,8856.86,287,287.43,262,261.64,5082,1974
157,2,3,11MAY2017,15JUN2016,11149,11614.95,401,420.52,338,354.55,7031,
159,2,1,25APR2015,22APR2015,,,,,,,,26
160,2,1,20NOV2014,15AUG2014,,,,,,,642,630
163,3,1,23JUN2015,10MAY2014,8617,10648.95,302,377.39,286,361.02,7372,2417
163,3,2,20JUL2016,27JUL2015,8615,9447.69,322,356.22,289,324.57,6696,2347
163,3,3,16OCT2017,08SEP2016,8925,10261.76,333,388.12,298,353.83,7111,2917
164,3,1,11NOV2014,09MAY2014,,5016.56,,159.02,,156.00,3197,1313
166,2,1,30AUG2014,04AUG2014,,,,,,,0,174
167,2,1,14SEP2015,29JUN2014,7618,11180.04,283,416.94,241,362.28,7998,2849
168,2,1,16MAR2015,31JUL2014,,4843.58,,141.94,,159.86,3057,1473
169,2,1,20NOV2015,01JUL2014,9190,13585.45,291,442.79,298,466.13,8867,
169,2,2,24NOV2017,29DEC2015,9645,17748.89,352,652.04,307,626.79,12268,
170,2,1,12SEP2015,13JUN2014,9016,12658.53,297,433.70,274,404.14,8510,2977
170,2,2,11OCT2016,02OCT2015,7304,8446.71,271,316.88,238,283.33,5700,
170,2,3,31DEC2017,22JAN2017,11737,12554.55,402,437.79,347,382.72,6969,
171,3,1,07MAY2015,12JUL2014,10381,10381.26,401,401.05,311,310.50,7372,2258
171,3,2,17MAY2016,16JUN2015,10523,11379.45,409,444.33,325,353.65,7733,2488
